target,model,fold,RMSE,MAE,sMAPE(%),MdAPE(%),MASE,logical_target
consumption,naive,1,70756171.3135156,40566197.40458015,149.0897000866873,99.88235294117646,14.634079666369287,consumption
consumption,snaive,1,70756171.3135156,40566197.40458015,149.0897000866873,99.88235294117646,14.634079666369287,consumption
consumption,ridge,1,55654847.1969324,30137343.70393719,129.7937881322267,246.81822136806707,10.8719159525259,consumption
consumption,lasso,1,57366878.075429246,30548593.880296048,132.25354314838182,199.84286395616985,11.020272668922601,consumption
consumption,rf,1,54364157.073159866,26149533.588927038,113.32458302466652,95.691652617599,9.433330759652414,consumption
consumption,naive,2,78222410.08290234,46201590.676691726,153.63326379617752,99.62307692307692,16.676969305910095,consumption
consumption,snaive,2,78222410.08290234,46201590.676691726,153.63326379617752,99.62307692307692,16.676969305910095,consumption
consumption,ridge,2,59043566.84079614,31875048.341343638,129.33023769688845,220.98146241672302,11.505647208834418,consumption
consumption,lasso,2,60473561.23534743,32511058.867010646,132.55368443897657,194.69701742823597,11.735222161978518,consumption
consumption,rf,2,58035879.34763997,27916764.205063123,113.9985624976461,99.36463193806459,10.076861271424614,consumption
consumption,naive,3,81691580.09106545,47106000.895522386,149.06298651622762,99.80137601528907,17.16844171319668,consumption
consumption,snaive,3,81691580.09106545,47106000.895522386,149.06298651622762,99.80137601528907,17.16844171319668,consumption
consumption,ridge,3,59537333.85013348,31541437.34936011,124.82702482116932,182.5453349043613,11.495718557896245,consumption
consumption,lasso,3,60218704.25106414,32454648.333692763,127.94252854106377,177.98455560003023,11.828551090021817,consumption
consumption,rf,3,56692741.24199241,26339191.35698077,106.41069356319805,92.43245040497001,9.59968715213186,consumption
consumption,naive,4,74658726.5042407,41235916.266666666,145.6736044488007,99.762,15.044506699015521,consumption
consumption,snaive,4,74658726.5042407,41235916.266666666,145.6736044488007,99.762,15.044506699015521,consumption
consumption,ridge,4,58763396.92818271,31083460.826157443,125.58212893264734,191.90166475357572,11.34048608508133,consumption
consumption,lasso,4,59412906.50720061,32072102.308462504,125.25471765329415,226.1011449133714,11.70118192380788,consumption
consumption,rf,4,57296346.330075026,25941671.258293808,106.01803141236479,96.54335527462537,9.46455620156899,consumption
consumption,naive,5,87276993.82529378,50458682.38235294,160.9547837268825,100.0,18.514456546861034,consumption
consumption,snaive,5,87276993.82529378,50458682.38235294,160.9547837268825,100.0,18.514456546861034,consumption
consumption,ridge,5,60551164.84687516,32376980.368199326,130.887963832559,337.83830141221654,11.879862252511844,consumption
consumption,lasso,5,61377887.74897346,33410341.197200395,132.29539309299574,303.7246445535999,12.259026219196391,consumption
consumption,rf,5,62451392.00321043,30187850.73684991,116.10321828127235,113.8609885789971,11.076620005162962,consumption
consumption,naive,6,89493178.03164728,52357099.877862595,158.80709219881172,100.0,19.613751340337323,consumption
consumption,snaive,6,89493178.03164728,52357099.877862595,158.80709219881172,100.0,19.613751340337323,consumption
consumption,ridge,6,65565669.35517984,35658616.29865942,134.94075333908359,378.23691217949073,13.35825007217641,consumption
consumption,lasso,6,66623945.21955899,36657385.83366437,137.69811444310142,372.4313315698835,13.732404052278243,consumption
consumption,rf,6,68580610.76609172,34337180.11123631,122.33771664701945,113.10728902523404,12.86322034645245,consumption
consumption,naive,7,90398173.38486767,53333975.54545455,157.2355530819648,99.98765294299513,20.511031021882257,consumption
consumption,snaive,7,90398173.38486767,53333975.54545455,157.2355530819648,99.98765294299513,20.511031021882257,consumption
consumption,ridge,7,68850864.72974944,37881226.1109687,135.5071491899739,371.2388439891898,14.568255899971712,consumption
consumption,lasso,7,70293337.07909603,39114286.19151154,139.1816305231776,393.33240685376853,15.04246269414373,consumption
consumption,rf,7,71750101.79149967,37253808.351199396,124.13132775572195,138.41340068345542,14.326965334198299,consumption
price,naive,1,95.77704166289624,90.9139601799892,45.35228630206645,52.723261197099255,4.1310741543385285,price
price,snaive,1,95.77704166289624,90.9139601799892,45.35228630206645,52.723261197099255,4.1310741543385285,price
price,ridge,1,63.060177493694674,58.43881177276967,44.55020298037388,42.753759408956405,2.6554234844329225,price
price,lasso,1,62.53785891105718,57.80751266399069,43.91632949811733,42.298073017410495,2.626737643152105,price
price,rf,1,55.61182957849381,49.71931347718381,36.708793803587604,34.848390902393646,2.259214871626041,price
price,naive,2,42.49473390517178,35.706647428354806,22.723750544718616,27.768045172849646,1.6919850979044317,price
price,snaive,2,42.49473390517178,35.706647428354806,22.723750544718616,27.768045172849646,1.6919850979044317,price
price,ridge,2,47.76944317547946,39.10684233901803,29.860607217223723,19.745297835675004,1.8531057724330664,price
price,lasso,2,47.8956980627044,39.423296897993794,30.13081492863734,20.038782970730587,1.8681011986775846,price
price,rf,2,42.94965739788114,32.38417562520164,23.963378098500957,16.001901789575694,1.534547388569707,price
price,naive,3,42.51893543656049,29.152547642204457,18.22017983813236,8.79537648256146,1.4453771811434093,price
price,snaive,3,42.51893543656049,29.152547642204457,18.22017983813236,8.79537648256146,1.4453771811434093,price
price,ridge,3,46.07578894590845,35.64179862154422,26.180770987692085,13.438292716384803,1.7671128799703457,price
price,lasso,3,46.07938064545044,35.82691567176773,26.360708961599688,14.251255394978141,1.776290944389192,price
price,rf,3,41.816740822276046,31.059566255179472,22.209075466309766,14.668806670890866,1.5399267629171622,price
price,naive,4,44.14945878275853,41.83354454220345,26.83154267059219,37.76634010067205,1.7916883740667495,price
price,snaive,4,44.14945878275853,41.83354454220345,26.83154267059219,37.76634010067205,1.7916883740667495,price
price,ridge,4,17.681986146334783,17.20477826048022,13.912785684396066,12.684802846041917,0.7368632403740161,price
price,lasso,4,17.58093277198696,17.17884551976113,13.880296223374419,12.34531225917339,0.7357525673348905,price
price,rf,4,15.470950645770733,12.802473756667297,9.994089444992747,8.266974853243354,0.5483169939371165,price
price,naive,5,11.563674701497948,9.457605533803841,7.589393569364362,5.528581113195466,0.4215800242740846,price
price,snaive,5,11.563674701497948,9.457605533803841,7.589393569364362,5.528581113195466,0.4215800242740846,price
price,ridge,5,15.632920098648349,13.934029249436986,11.443159549581313,10.325249849596398,0.6211200465294524,price
price,lasso,5,15.34376524567078,13.634886065893904,11.158319506778506,10.353677772439621,0.6077855095656554,price
price,rf,5,14.038290883589507,11.186678088915398,8.979816055670863,6.403290668936668,0.49865476027889694,price
price,naive,6,25.587488074694594,22.398167535912894,18.2860925039839,23.46459429428239,1.0097233761337958,price
price,snaive,6,25.587488074694594,22.398167535912894,18.2860925039839,23.46459429428239,1.0097233761337958,price
price,ridge,6,15.238834035189228,13.56015346761447,11.85244705888649,14.061104852994836,0.6113001841895558,price
price,lasso,6,14.621488725103019,13.021214481832468,11.367693844088308,13.540352924232899,0.5870044782403349,price
price,rf,6,16.02993073236472,12.685563118971974,10.880021832025854,9.063902039341327,0.5718731052488615,price
price,naive,7,23.993755416803562,23.508655550197457,19.70528034830252,18.651116708560156,1.099833309019487,price
price,snaive,7,23.993755416803562,23.508655550197457,19.70528034830252,18.651116708560156,1.099833309019487,price
price,ridge,7,10.05474381673321,9.001936752315713,8.168964176993908,6.978360057281405,0.42114828152307354,price
price,lasso,7,9.41125965159966,8.382992272173524,7.630958173229906,6.022513992264641,0.3921914679681439,price
price,rf,7,14.430548313778191,10.779264591185765,9.407432144848345,6.758853196403872,0.5042991173530061,price
profit,naive,1,15100154543.557734,8536294543.737979,151.10225266367962,100.00295218642874,11.034890022612384,profit
profit,snaive,1,15100154543.557734,8536294543.737979,151.10225266367962,100.00295218642874,11.034890022612384,profit
profit,ridge,1,9123049491.026196,4491852465.825127,129.87908181744274,132.7696355889024,5.806629293800758,profit
profit,lasso,1,9317675055.564537,4568211421.715931,133.54342455339028,133.3947613165566,5.905338713465132,profit
profit,rf,1,8790284945.075056,4013298039.333086,118.81011376182309,97.69609037301889,5.188000749633678,profit
profit,naive,2,12699218182.619701,7347924754.792807,152.44082055402248,99.65608449977165,9.822408042067106,profit
profit,snaive,2,12699218182.619701,7347924754.792807,152.44082055402248,99.65608449977165,9.822408042067106,profit
